US,penny,1
US,dime,10
US,quarter,25
US,dollar,100
US,5 dollars,500
US,10 dollars,1000
US,20 dollars,2000
US,50 dollars,5000
US,100 dollars,10000
Japan,1 Yen,1
Japan,5 Yen,5
Japan,10 Yen,10
Japan,50 Yen,50
Japan,100 Yen,100
Japan,500 Yen,500
Japan,1 Yen bill,1
Japan,5 Yen bills,5
Japan,10 Yen bills,10
Japan,50 Yen bills,50
Japan,100 Yen bills,100
Japan,1000 Yen Bills,1000
Japan,5000 Yen bills,5000
Japan,10000 Yen bills,10000
Germany,1 cent Euro,1
Germany,2 cents Euro,2
Germany,10 cent Euro,10
Germany,50 Euro cent,50
Germany,1 Euro bill,100
Germany,2 Euro bills,200
Germany,5 Euro bills,500
Germany,10 Euro bills,1000
Germany,20 Euro bills,2000
Germany,50 Euro bills,5000
Germany,100 Euro bills,10000
Germany,200 Euro bills,20000
Germany,500 Euro bills,50000
India,1 Rupee coin,1
India,2 Rupee coin,2
India,5 Rupee coin,5
India,10 Rupee coin,10
India,20 Rupee coin,20
India,50 Rupee coin,50
India,10 Rupee notes,10
India,50 Rupee notes,50
India,100 Rupee notes,100
India,500 Rupee notes,500
India,2000 Rupee notes,2000
